,cluster_kmeans
172.31.64.100,6
172.31.64.101,9
172.31.64.103,4
172.31.64.104,6
172.31.64.106,6
172.31.64.107,2
172.31.64.108,0
172.31.64.109,2
172.31.64.11,8
172.31.64.110,9
172.31.64.111,1
172.31.64.112,6
172.31.64.113,4
172.31.64.114,2
172.31.64.115,1
172.31.64.116,7
172.31.64.117,5
172.31.64.118,3
172.31.64.119,2
172.31.64.12,6
172.31.64.120,2
172.31.64.121,2
172.31.64.122,3
172.31.64.123,4
172.31.64.124,2
172.31.64.125,5
172.31.64.126,1
172.31.64.13,4
172.31.64.14,6
172.31.64.15,4
172.31.64.16,2
172.31.64.18,7
172.31.64.19,5
172.31.64.20,2
172.31.64.21,2
172.31.64.23,6
172.31.64.24,2
172.31.64.26,1
172.31.64.27,4
172.31.64.28,2
172.31.64.29,9
172.31.64.31,7
172.31.64.32,2
172.31.64.33,4
172.31.64.34,6
172.31.64.35,1
172.31.64.36,2
172.31.64.37,2
172.31.64.38,1
172.31.64.39,2
172.31.64.4,2
172.31.64.40,2
172.31.64.41,2
172.31.64.42,2
172.31.64.44,2
172.31.64.45,6
172.31.64.46,7
172.31.64.47,2
172.31.64.48,2
172.31.64.49,2
172.31.64.51,8
172.31.64.52,4
172.31.64.54,7
172.31.64.57,5
172.31.64.58,2
172.31.64.60,6
172.31.64.61,6
172.31.64.63,7
172.31.64.64,2
172.31.64.65,1
172.31.64.67,1
172.31.64.68,8
172.31.64.69,2
172.31.64.7,9
172.31.64.70,2
172.31.64.71,1
172.31.64.72,2
172.31.64.73,2
172.31.64.74,2
172.31.64.75,1
172.31.64.76,1
172.31.64.77,2
172.31.64.78,6
172.31.64.79,6
172.31.64.8,0
172.31.64.80,6
172.31.64.81,2
172.31.64.83,5
172.31.64.84,1
172.31.64.85,2
172.31.64.86,6
172.31.64.87,2
172.31.64.88,6
172.31.64.89,5
172.31.64.91,2
172.31.64.92,2
172.31.64.93,6
172.31.64.94,8
172.31.64.95,3
172.31.64.96,0
172.31.64.97,2
172.31.64.98,6
172.31.64.99,7
172.31.65.10,1
172.31.65.100,2
172.31.65.103,6
172.31.65.104,6
172.31.65.105,5
172.31.65.107,2
172.31.65.108,6
172.31.65.109,4
172.31.65.11,2
172.31.65.112,2
172.31.65.113,3
172.31.65.114,8
172.31.65.115,2
172.31.65.116,6
172.31.65.117,4
172.31.65.118,9
172.31.65.119,2
172.31.65.121,2
172.31.65.122,2
172.31.65.123,3
172.31.65.124,7
172.31.65.125,6
172.31.65.126,3
172.31.65.13,6
172.31.65.14,1
172.31.65.16,7
172.31.65.17,6
172.31.65.18,2
172.31.65.19,2
172.31.65.20,2
172.31.65.21,5
172.31.65.23,2
172.31.65.24,2
172.31.65.25,5
172.31.65.27,0
172.31.65.28,7
172.31.65.29,1
172.31.65.30,4
172.31.65.32,2
172.31.65.33,4
172.31.65.34,1
172.31.65.35,2
172.31.65.36,2
172.31.65.37,2
172.31.65.38,6
172.31.65.39,0
172.31.65.40,1
172.31.65.41,4
172.31.65.42,5
172.31.65.43,2
172.31.65.44,2
172.31.65.45,5
172.31.65.46,2
172.31.65.47,6
172.31.65.48,5
172.31.65.49,2
172.31.65.5,4
172.31.65.51,6
172.31.65.52,6
172.31.65.55,2
172.31.65.56,1
172.31.65.57,2
172.31.65.58,2
172.31.65.59,2
172.31.65.6,4
172.31.65.61,2
172.31.65.64,2
172.31.65.65,2
172.31.65.67,2
172.31.65.68,4
172.31.65.69,6
172.31.65.70,6
172.31.65.71,2
172.31.65.72,6
172.31.65.73,6
172.31.65.75,9
172.31.65.77,5
172.31.65.78,2
172.31.65.79,2
172.31.65.8,5
172.31.65.80,6
172.31.65.81,1
172.31.65.82,2
172.31.65.83,5
172.31.65.84,2
172.31.65.85,2
172.31.65.86,3
172.31.65.87,2
172.31.65.88,1
172.31.65.89,2
172.31.65.9,6
172.31.65.90,6
172.31.65.91,6
172.31.65.93,6
172.31.65.96,2
172.31.65.98,2
172.31.65.99,2
172.31.66.10,2
172.31.66.101,3
172.31.66.102,2
172.31.66.103,6
172.31.66.105,2
172.31.66.107,2
172.31.66.108,2
172.31.66.109,5
172.31.66.11,4
172.31.66.110,6
172.31.66.111,4
172.31.66.112,7
172.31.66.113,0
172.31.66.114,1
172.31.66.115,3
172.31.66.116,9
172.31.66.118,2
172.31.66.119,2
172.31.66.12,2
172.31.66.120,1
172.31.66.121,2
172.31.66.122,9
172.31.66.123,1
172.31.66.124,4
172.31.66.13,6
172.31.66.14,2
172.31.66.15,5
172.31.66.16,0
172.31.66.17,6
172.31.66.19,2
172.31.66.20,2
172.31.66.21,8
172.31.66.22,5
172.31.66.24,2
172.31.66.25,2
172.31.66.26,0
172.31.66.28,2
172.31.66.29,5
172.31.66.34,4
172.31.66.35,2
172.31.66.37,2
172.31.66.38,4
172.31.66.40,9
172.31.66.41,3
172.31.66.42,3
172.31.66.43,1
172.31.66.44,6
172.31.66.46,5
172.31.66.48,4
172.31.66.49,1
172.31.66.5,0
172.31.66.50,8
172.31.66.51,2
172.31.66.53,8
172.31.66.54,1
172.31.66.55,2
172.31.66.56,6
172.31.66.57,6
172.31.66.58,5
172.31.66.60,2
172.31.66.61,9
172.31.66.62,1
172.31.66.63,1
172.31.66.64,2
172.31.66.65,2
172.31.66.66,2
172.31.66.68,4
172.31.66.69,2
172.31.66.7,2
172.31.66.70,4
172.31.66.71,8
172.31.66.72,7
172.31.66.73,2
172.31.66.74,4
172.31.66.75,9
172.31.66.77,0
172.31.66.78,2
172.31.66.79,6
172.31.66.8,0
172.31.66.80,2
172.31.66.81,6
172.31.66.82,3
172.31.66.83,2
172.31.66.84,4
172.31.66.85,1
172.31.66.86,8
172.31.66.87,2
172.31.66.89,3
172.31.66.9,7
172.31.66.90,2
172.31.66.91,9
172.31.66.92,2
172.31.66.94,0
172.31.66.95,0
172.31.66.96,6
172.31.66.97,2
172.31.66.98,4
172.31.66.99,5
172.31.67.10,1
172.31.67.100,4
172.31.67.101,0
172.31.67.102,0
172.31.67.104,2
172.31.67.105,2
172.31.67.107,2
172.31.67.108,6
172.31.67.109,0
172.31.67.111,5
172.31.67.112,6
172.31.67.113,2
172.31.67.114,2
172.31.67.115,2
172.31.67.116,7
172.31.67.117,2
172.31.67.118,6
172.31.67.12,4
172.31.67.120,8
172.31.67.121,5
172.31.67.122,2
172.31.67.123,2
172.31.67.124,5
172.31.67.125,4
172.31.67.126,4
172.31.67.13,1
172.31.67.14,2
172.31.67.15,3
172.31.67.16,6
172.31.67.17,2
172.31.67.18,6
172.31.67.19,2
172.31.67.20,2
172.31.67.21,1
172.31.67.22,2
172.31.67.23,4
172.31.67.24,2
172.31.67.26,6
172.31.67.27,6
172.31.67.29,0
172.31.67.30,2
172.31.67.31,2
172.31.67.33,2
172.31.67.34,8
172.31.67.35,6
172.31.67.37,2
172.31.67.38,0
172.31.67.4,5
172.31.67.40,2
172.31.67.41,1
172.31.67.42,2
172.31.67.45,2
172.31.67.47,2
172.31.67.48,4
172.31.67.50,1
172.31.67.52,6
172.31.67.53,2
172.31.67.54,3
172.31.67.56,6
172.31.67.57,6
172.31.67.58,9
172.31.67.59,2
172.31.67.6,2
172.31.67.60,2
172.31.67.61,0
172.31.67.62,8
172.31.67.63,3
172.31.67.64,4
172.31.67.66,2
172.31.67.67,2
172.31.67.7,6
172.31.67.70,2
172.31.67.71,2
172.31.67.72,2
172.31.67.73,0
172.31.67.75,4
172.31.67.76,0
172.31.67.77,0
172.31.67.78,8
172.31.67.8,2
172.31.67.80,1
172.31.67.81,7
172.31.67.82,3
172.31.67.83,6
172.31.67.86,4
172.31.67.89,6
172.31.67.9,2
172.31.67.91,9
172.31.67.92,6
172.31.67.93,2
172.31.67.94,1
172.31.67.95,6
172.31.67.96,2
172.31.67.97,2
172.31.67.98,6
172.31.67.99,2
172.31.68.10,4
172.31.68.11,8
172.31.68.12,4
172.31.68.13,0
172.31.68.14,6
172.31.68.15,6
172.31.68.18,2
172.31.68.19,2
172.31.68.20,6
172.31.68.21,9
172.31.68.23,4
172.31.68.25,0
172.31.68.26,2
172.31.68.28,4
172.31.68.30,0
172.31.68.4,2
172.31.68.5,6
172.31.68.6,2
172.31.68.8,6
172.31.68.9,6
172.31.69.10,2
172.31.69.11,8
172.31.69.12,4
172.31.69.13,2
172.31.69.14,6
172.31.69.16,2
172.31.69.17,6
172.31.69.18,6
172.31.69.19,8
172.31.69.20,2
172.31.69.21,2
172.31.69.22,2
172.31.69.23,4
172.31.69.24,6
172.31.69.25,6
172.31.69.26,2
172.31.69.27,2
172.31.69.28,2
172.31.69.29,6
172.31.69.30,9
172.31.69.4,8
172.31.69.5,0
172.31.69.6,5
172.31.69.7,6
172.31.69.8,4
172.31.69.9,2
172.31.0.2,5
172.31.64.1,5
172.31.64.127,5
172.31.65.1,5
172.31.65.127,5
172.31.66.1,5
172.31.66.127,5
172.31.67.1,5
172.31.67.127,5
172.31.68.1,5
172.31.69.1,5
