,cluster_kmeans
103.244.1.54,1
104.20.3.40,2
104.244.43.16,2
107.160.254.162,10
113.190.160.86,6
116.107.26.158,1
116.107.58.68,4
132.148.81.215,10
138.91.240.238,10
152.111.32.218,1
172.217.8.10,2
173.227.69.75,10
18.221.219.4,7
183.83.251.144,1
183.89.187.248,10
184.169.170.204,2
185.222.56.82,10
185.222.56.84,10
199.16.156.11,2
199.16.156.21,2
201.174.154.14,10
209.85.202.94,2
212.92.108.184,10
216.58.198.66,2
216.58.211.168,2
23.196.102.76,2
23.196.141.83,2
23.218.50.120,8
23.218.75.124,2
23.52.91.27,5
31.13.71.36,2
31.135.195.178,10
35.165.11.195,10
36.229.147.152,4
41.203.16.49,2
52.207.156.239,2
52.85.117.92,2
54.81.223.182,2
59.97.255.232,1
65.158.47.99,10
65.55.44.109,2
67.227.156.183,2
72.167.239.239,5
72.21.91.29,5
77.243.191.23,3
104.17.179.200,0
104.193.74.191,0
104.67.65.130,0
108.161.189.121,0
13.107.21.200,0
13.89.187.212,0
13.89.190.129,0
131.202.1.10,0
131.253.61.66,0
169.254.169.254,9
173.241.244.143,0
209.85.202.156,0
209.85.203.100,0
209.85.203.95,0
216.24.224.136,0
216.58.198.65,0
216.58.211.163,0
216.58.211.174,0
224.0.0.252,0
23.13.154.167,0
23.196.107.60,0
23.196.115.14,0
23.36.33.52,0
34.199.116.246,0
34.206.166.138,0
52.22.68.31,0
52.86.241.150,0
54.152.8.7,0
65.52.108.11,0
65.55.44.108,0
69.49.101.57,0
