,cluster_agglomerative
172.31.0.2,0
172.31.64.100,2
172.31.64.101,1
172.31.64.103,1
172.31.64.104,2
172.31.64.106,4
172.31.64.107,2
172.31.64.108,1
172.31.64.109,2
172.31.64.11,2
172.31.64.110,2
172.31.64.111,5
172.31.64.112,0
172.31.64.113,3
172.31.64.114,4
172.31.64.115,5
172.31.64.116,4
172.31.64.117,0
172.31.64.118,6
172.31.64.119,1
172.31.64.12,0
172.31.64.120,0
172.31.64.121,4
172.31.64.123,2
172.31.64.124,1
172.31.64.125,5
172.31.64.126,0
172.31.64.13,2
172.31.64.14,0
172.31.64.15,3
172.31.64.16,1
172.31.64.18,4
172.31.64.19,2
172.31.64.20,0
172.31.64.21,4
172.31.64.23,3
172.31.64.24,0
172.31.64.26,5
172.31.64.27,2
172.31.64.28,1
172.31.64.29,2
172.31.64.31,4
172.31.64.32,4
172.31.64.33,3
172.31.64.34,4
172.31.64.35,5
172.31.64.36,0
172.31.64.37,4
172.31.64.38,5
172.31.64.39,0
172.31.64.4,2
172.31.64.40,4
172.31.64.41,4
172.31.64.42,2
172.31.64.44,1
172.31.64.45,2
172.31.64.46,5
172.31.64.47,0
172.31.64.48,4
172.31.64.49,1
172.31.64.51,2
172.31.64.52,3
172.31.64.54,5
172.31.64.57,0
172.31.64.58,1
172.31.64.60,2
172.31.64.61,0
172.31.64.63,5
172.31.64.64,4
172.31.64.65,6
172.31.64.67,6
172.31.64.68,2
172.31.64.69,1
172.31.64.7,2
172.31.64.70,1
172.31.64.71,6
172.31.64.72,2
172.31.64.73,1
172.31.64.74,0
172.31.64.75,5
172.31.64.76,5
172.31.64.77,2
172.31.64.78,0
172.31.64.79,2
172.31.64.8,2
172.31.64.80,0
172.31.64.81,1
172.31.64.83,2
172.31.64.85,2
172.31.64.86,0
172.31.64.87,1
172.31.64.88,0
172.31.64.89,0
172.31.64.91,0
172.31.64.92,2
172.31.64.93,0
172.31.64.94,3
172.31.64.95,5
172.31.64.96,1
172.31.64.97,4
172.31.64.98,0
172.31.64.99,4
172.31.65.10,5
172.31.65.100,4
172.31.65.103,0
172.31.65.104,0
172.31.65.105,0
172.31.65.107,1
172.31.65.108,0
172.31.65.109,1
172.31.65.11,0
172.31.65.112,2
172.31.65.113,6
172.31.65.114,0
172.31.65.115,0
172.31.65.116,0
172.31.65.117,3
172.31.65.118,1
172.31.65.119,1
172.31.65.121,2
172.31.65.122,2
172.31.65.123,5
172.31.65.124,5
172.31.65.125,0
172.31.65.126,6
172.31.65.13,4
172.31.65.14,5
172.31.65.16,4
172.31.65.17,0
172.31.65.18,1
172.31.65.19,0
172.31.65.20,4
172.31.65.21,0
172.31.65.23,0
172.31.65.24,2
172.31.65.25,4
172.31.65.27,2
172.31.65.28,5
172.31.65.29,6
172.31.65.30,1
172.31.65.32,1
172.31.65.33,2
172.31.65.35,0
172.31.65.36,2
172.31.65.37,2
172.31.65.38,0
172.31.65.39,1
172.31.65.40,5
172.31.65.41,1
172.31.65.42,0
172.31.65.43,2
172.31.65.44,2
172.31.65.45,1
172.31.65.46,0
172.31.65.47,0
172.31.65.48,0
172.31.65.49,4
172.31.65.5,1
172.31.65.51,0
172.31.65.52,0
172.31.65.55,0
172.31.65.56,6
172.31.65.57,0
172.31.65.58,0
172.31.65.59,2
172.31.65.6,3
172.31.65.61,4
172.31.65.64,1
172.31.65.65,1
172.31.65.67,4
172.31.65.68,3
172.31.65.69,0
172.31.65.70,0
172.31.65.71,1
172.31.65.72,2
172.31.65.73,0
172.31.65.75,1
172.31.65.77,4
172.31.65.78,0
172.31.65.79,4
172.31.65.8,1
172.31.65.80,4
172.31.65.81,5
172.31.65.82,2
172.31.65.83,4
172.31.65.84,2
172.31.65.85,2
172.31.65.86,6
172.31.65.87,0
172.31.65.88,5
172.31.65.89,0
172.31.65.9,0
172.31.65.90,0
172.31.65.91,2
172.31.65.93,1
172.31.65.96,2
172.31.65.98,2
172.31.65.99,0
172.31.66.10,4
172.31.66.101,5
172.31.66.102,4
172.31.66.103,3
172.31.66.105,2
172.31.66.107,2
172.31.66.108,1
172.31.66.109,1
172.31.66.11,2
172.31.66.110,4
172.31.66.111,3
172.31.66.112,6
172.31.66.113,1
172.31.66.114,5
172.31.66.115,6
172.31.66.116,1
172.31.66.118,4
172.31.66.119,1
172.31.66.12,1
172.31.66.120,5
172.31.66.121,4
172.31.66.122,1
172.31.66.123,5
172.31.66.124,1
172.31.66.13,2
172.31.66.14,2
172.31.66.15,4
172.31.66.16,1
172.31.66.17,2
172.31.66.19,3
172.31.66.20,1
172.31.66.21,1
172.31.66.22,4
172.31.66.24,3
172.31.66.25,2
172.31.66.26,1
172.31.66.28,2
172.31.66.29,2
172.31.66.34,1
172.31.66.35,1
172.31.66.37,2
172.31.66.38,1
172.31.66.40,2
172.31.66.41,6
172.31.66.42,5
172.31.66.43,6
172.31.66.44,1
172.31.66.46,4
172.31.66.48,1
172.31.66.49,5
172.31.66.5,1
172.31.66.50,2
172.31.66.51,1
172.31.66.53,2
172.31.66.54,5
172.31.66.55,2
172.31.66.56,2
172.31.66.57,2
172.31.66.58,3
172.31.66.60,2
172.31.66.61,1
172.31.66.62,6
172.31.66.63,5
172.31.66.64,2
172.31.66.65,1
172.31.66.66,1
172.31.66.68,1
172.31.66.69,4
172.31.66.7,1
172.31.66.70,1
172.31.66.71,2
172.31.66.72,5
172.31.66.73,2
172.31.66.74,2
172.31.66.75,1
172.31.66.77,1
172.31.66.78,1
172.31.66.79,4
172.31.66.8,1
172.31.66.80,1
172.31.66.81,1
172.31.66.82,6
172.31.66.83,4
172.31.66.84,1
172.31.66.85,5
172.31.66.86,2
172.31.66.87,1
172.31.66.89,5
172.31.66.9,4
172.31.66.90,4
172.31.66.91,1
172.31.66.92,3
172.31.66.94,1
172.31.66.95,1
172.31.66.96,4
172.31.66.97,2
172.31.66.98,1
172.31.66.99,4
172.31.67.10,5
172.31.67.100,1
172.31.67.101,6
172.31.67.102,3
172.31.67.104,4
172.31.67.105,0
172.31.67.107,4
172.31.67.108,3
172.31.67.109,3
172.31.67.111,4
172.31.67.112,2
172.31.67.113,2
172.31.67.114,0
172.31.67.115,2
172.31.67.116,5
172.31.67.117,2
172.31.67.118,4
172.31.67.12,2
172.31.67.120,1
172.31.67.121,4
172.31.67.122,1
172.31.67.123,4
172.31.67.124,4
172.31.67.125,5
172.31.67.126,1
172.31.67.13,5
172.31.67.14,4
172.31.67.15,6
172.31.67.16,1
172.31.67.17,2
172.31.67.18,2
172.31.67.19,0
172.31.67.20,2
172.31.67.21,5
172.31.67.22,0
172.31.67.23,4
172.31.67.24,2
172.31.67.26,0
172.31.67.27,3
172.31.67.29,1
172.31.67.30,0
172.31.67.31,1
172.31.67.33,4
172.31.67.34,0
172.31.67.35,4
172.31.67.37,2
172.31.67.38,1
172.31.67.4,0
172.31.67.40,0
172.31.67.42,1
172.31.67.45,1
172.31.67.47,2
172.31.67.48,2
172.31.67.50,5
172.31.67.52,2
172.31.67.53,1
172.31.67.54,0
172.31.67.56,4
172.31.67.57,1
172.31.67.58,1
172.31.67.59,4
172.31.67.6,1
172.31.67.60,2
172.31.67.61,1
172.31.67.62,0
172.31.67.63,6
172.31.67.64,1
172.31.67.66,2
172.31.67.67,2
172.31.67.7,1
172.31.67.70,0
172.31.67.71,0
172.31.67.72,0
172.31.67.73,1
172.31.67.75,2
172.31.67.76,3
172.31.67.77,1
172.31.67.78,3
172.31.67.8,0
172.31.67.80,5
172.31.67.81,6
172.31.67.83,0
172.31.67.86,6
172.31.67.89,0
172.31.67.9,4
172.31.67.91,1
172.31.67.92,1
172.31.67.93,0
172.31.67.94,5
172.31.67.95,0
172.31.67.96,2
172.31.67.97,0
172.31.67.98,0
172.31.67.99,2
172.31.68.10,1
172.31.68.11,2
172.31.68.12,1
172.31.68.13,1
172.31.68.14,1
172.31.68.15,2
172.31.68.18,1
172.31.68.19,2
172.31.68.20,1
172.31.68.21,1
172.31.68.23,1
172.31.68.25,1
172.31.68.26,1
172.31.68.28,1
172.31.68.30,1
172.31.68.4,2
172.31.68.5,1
172.31.68.6,1
172.31.68.8,2
172.31.68.9,2
172.31.69.10,1
172.31.69.11,1
172.31.69.12,2
172.31.69.13,2
172.31.69.14,1
172.31.69.16,1
172.31.69.17,2
172.31.69.18,0
172.31.69.19,2
172.31.69.20,2
172.31.69.21,0
172.31.69.22,0
172.31.69.23,1
172.31.69.24,1
172.31.69.25,7
172.31.69.26,2
172.31.69.27,0
172.31.69.28,1
172.31.69.29,2
172.31.69.30,1
172.31.69.4,2
172.31.69.5,1
172.31.69.6,2
172.31.69.7,0
172.31.69.8,1
172.31.69.9,1
172.31.64.127,0
172.31.65.127,0
172.31.66.127,0
172.31.67.127,0
172.31.69.1,0
