,cluster_kmeans
172.31.64.101,9
172.31.64.120,2
172.31.64.126,2
172.31.64.27,2
172.31.64.33,6
172.31.64.52,1
172.31.64.67,2
172.31.64.73,2
172.31.64.85,2
172.31.64.88,4
172.31.64.99,2
172.31.65.118,10
172.31.65.123,3
172.31.65.25,5
172.31.65.27,2
172.31.65.39,0
172.31.65.55,2
172.31.65.9,2
172.31.65.90,2
172.31.66.120,2
172.31.66.49,2
172.31.66.57,2
172.31.66.77,2
172.31.66.81,1
172.31.66.85,2
172.31.66.98,2
172.31.67.109,2
172.31.67.58,2
172.31.67.70,2
172.31.67.76,9
172.31.68.18,2
172.31.68.19,2
172.31.68.6,1
172.31.69.12,2
172.31.0.2,7
172.31.64.107,4
172.31.64.127,1
172.31.64.70,1
172.31.64.74,8
172.31.64.81,1
172.31.64.83,4
172.31.65.56,4
172.31.65.6,4
172.31.65.86,9
172.31.65.98,9
172.31.66.119,1
172.31.66.122,8
172.31.66.53,4
172.31.66.62,4
172.31.66.63,4
172.31.67.100,4
172.31.67.111,8
172.31.67.31,8
172.31.67.37,1
172.31.67.50,4
172.31.67.61,1
172.31.67.62,4
172.31.67.75,4
172.31.67.86,1
172.31.68.20,1
172.31.68.21,8
172.31.69.16,4
172.31.69.25,1
172.31.69.28,1
