,cluster_agglomerative
172.31.64.100,6
172.31.64.101,2
172.31.64.103,4
172.31.64.104,6
172.31.64.106,6
172.31.64.107,3
172.31.64.108,5
172.31.64.109,3
172.31.64.11,0
172.31.64.110,2
172.31.64.111,1
172.31.64.112,6
172.31.64.113,3
172.31.64.114,3
172.31.64.115,1
172.31.64.116,1
172.31.64.117,2
172.31.64.118,7
172.31.64.119,3
172.31.64.12,6
172.31.64.120,3
172.31.64.121,3
172.31.64.122,7
172.31.64.123,3
172.31.64.124,3
172.31.64.125,2
172.31.64.126,1
172.31.64.13,4
172.31.64.14,6
172.31.64.15,1
172.31.64.16,3
172.31.64.18,1
172.31.64.19,2
172.31.64.20,3
172.31.64.21,3
172.31.64.23,6
172.31.64.24,3
172.31.64.26,1
172.31.64.27,3
172.31.64.28,3
172.31.64.29,2
172.31.64.31,1
172.31.64.32,3
172.31.64.33,3
172.31.64.34,6
172.31.64.35,1
172.31.64.36,3
172.31.64.37,3
172.31.64.38,1
172.31.64.39,3
172.31.64.4,3
172.31.64.40,3
172.31.64.41,3
172.31.64.42,3
172.31.64.44,3
172.31.64.45,6
172.31.64.46,1
172.31.64.47,3
172.31.64.48,3
172.31.64.49,3
172.31.64.51,0
172.31.64.52,4
172.31.64.54,1
172.31.64.57,2
172.31.64.58,3
172.31.64.60,6
172.31.64.61,6
172.31.64.63,1
172.31.64.64,3
172.31.64.65,1
172.31.64.67,1
172.31.64.68,0
172.31.64.69,3
172.31.64.7,2
172.31.64.70,3
172.31.64.71,1
172.31.64.72,3
172.31.64.73,3
172.31.64.74,3
172.31.64.75,1
172.31.64.76,1
172.31.64.77,3
172.31.64.78,6
172.31.64.79,6
172.31.64.8,6
172.31.64.80,6
172.31.64.81,3
172.31.64.83,2
172.31.64.84,1
172.31.64.85,3
172.31.64.86,6
172.31.64.87,3
172.31.64.88,6
172.31.64.89,2
172.31.64.91,3
172.31.64.92,3
172.31.64.93,6
172.31.64.94,0
172.31.64.95,7
172.31.64.96,6
172.31.64.97,3
172.31.64.98,6
172.31.64.99,2
172.31.65.10,1
172.31.65.100,3
172.31.65.103,6
172.31.65.104,6
172.31.65.105,2
172.31.65.107,3
172.31.65.108,6
172.31.65.109,4
172.31.65.11,3
172.31.65.112,3
172.31.65.113,7
172.31.65.114,0
172.31.65.115,3
172.31.65.116,6
172.31.65.117,4
172.31.65.118,2
172.31.65.119,3
172.31.65.121,3
172.31.65.122,3
172.31.65.123,7
172.31.65.124,1
172.31.65.125,6
172.31.65.126,7
172.31.65.13,6
172.31.65.14,1
172.31.65.16,1
172.31.65.17,6
172.31.65.18,3
172.31.65.19,3
172.31.65.20,3
172.31.65.21,2
172.31.65.23,3
172.31.65.24,3
172.31.65.25,2
172.31.65.27,5
172.31.65.28,1
172.31.65.29,1
172.31.65.30,4
172.31.65.32,3
172.31.65.33,3
172.31.65.34,1
172.31.65.35,3
172.31.65.36,3
172.31.65.37,3
172.31.65.38,6
172.31.65.39,5
172.31.65.40,1
172.31.65.41,4
172.31.65.42,2
172.31.65.43,3
172.31.65.44,3
172.31.65.45,2
172.31.65.46,3
172.31.65.47,6
172.31.65.48,2
172.31.65.49,3
172.31.65.5,3
172.31.65.51,6
172.31.65.52,6
172.31.65.55,3
172.31.65.56,1
172.31.65.57,3
172.31.65.58,3
172.31.65.59,3
172.31.65.6,4
172.31.65.61,3
172.31.65.64,3
172.31.65.65,3
172.31.65.67,3
172.31.65.68,4
172.31.65.69,6
172.31.65.70,6
172.31.65.71,3
172.31.65.72,6
172.31.65.73,6
172.31.65.75,2
172.31.65.77,2
172.31.65.78,3
172.31.65.79,3
172.31.65.8,2
172.31.65.80,6
172.31.65.81,1
172.31.65.82,3
172.31.65.83,2
172.31.65.84,3
172.31.65.85,3
172.31.65.86,7
172.31.65.87,3
172.31.65.88,1
172.31.65.89,3
172.31.65.9,6
172.31.65.90,6
172.31.65.91,6
172.31.65.93,6
172.31.65.96,3
172.31.65.98,3
172.31.65.99,3
172.31.66.10,3
172.31.66.101,5
172.31.66.102,3
172.31.66.103,7
172.31.66.105,3
172.31.66.107,3
172.31.66.108,3
172.31.66.109,2
172.31.66.11,3
172.31.66.110,6
172.31.66.111,4
172.31.66.112,1
172.31.66.113,6
172.31.66.114,3
172.31.66.115,7
172.31.66.116,2
172.31.66.118,3
172.31.66.119,3
172.31.66.12,3
172.31.66.120,1
172.31.66.121,3
172.31.66.122,2
172.31.66.123,1
172.31.66.124,3
172.31.66.13,6
172.31.66.14,3
172.31.66.15,2
172.31.66.16,6
172.31.66.17,6
172.31.66.19,3
172.31.66.20,3
172.31.66.21,0
172.31.66.22,2
172.31.66.24,3
172.31.66.25,3
172.31.66.26,5
172.31.66.28,3
172.31.66.29,2
172.31.66.34,3
172.31.66.35,3
172.31.66.37,3
172.31.66.38,4
172.31.66.40,2
172.31.66.41,7
172.31.66.42,7
172.31.66.43,1
172.31.66.44,6
172.31.66.46,2
172.31.66.48,4
172.31.66.49,1
172.31.66.5,5
172.31.66.50,0
172.31.66.51,3
172.31.66.53,0
172.31.66.54,1
172.31.66.55,3
172.31.66.56,6
172.31.66.57,6
172.31.66.58,2
172.31.66.60,3
172.31.66.61,2
172.31.66.62,2
172.31.66.63,1
172.31.66.64,3
172.31.66.65,3
172.31.66.66,3
172.31.66.68,4
172.31.66.69,3
172.31.66.7,3
172.31.66.70,4
172.31.66.71,0
172.31.66.72,1
172.31.66.73,3
172.31.66.74,3
172.31.66.75,2
