,cluster_kmeans
172.31.0.2,2
172.31.64.100,4
172.31.64.101,0
172.31.64.103,0
172.31.64.104,4
172.31.64.106,7
172.31.64.107,4
172.31.64.108,0
172.31.64.109,4
172.31.64.11,4
172.31.64.110,4
172.31.64.111,1
172.31.64.112,2
172.31.64.113,7
172.31.64.114,7
172.31.64.115,5
172.31.64.116,7
172.31.64.117,2
172.31.64.118,5
172.31.64.119,4
172.31.64.12,2
172.31.64.120,6
172.31.64.121,7
172.31.64.123,4
172.31.64.124,4
172.31.64.125,1
172.31.64.126,6
172.31.64.13,4
172.31.64.14,2
172.31.64.15,3
172.31.64.16,0
172.31.64.18,7
172.31.64.19,4
172.31.64.20,2
172.31.64.21,7
172.31.64.23,3
172.31.64.24,2
172.31.64.26,1
172.31.64.27,4
172.31.64.28,0
172.31.64.29,4
172.31.64.31,7
172.31.64.32,7
172.31.64.33,3
172.31.64.34,7
172.31.64.35,1
172.31.64.36,2
172.31.64.37,7
172.31.64.38,1
172.31.64.39,6
172.31.64.4,4
172.31.64.40,7
172.31.64.41,7
172.31.64.42,4
172.31.64.44,0
172.31.64.45,4
172.31.64.46,1
172.31.64.47,2
172.31.64.48,7
172.31.64.49,0
172.31.64.51,4
172.31.64.52,3
172.31.64.54,1
172.31.64.57,2
172.31.64.58,4
172.31.64.60,4
172.31.64.61,2
172.31.64.63,1
172.31.64.64,7
172.31.64.65,5
172.31.64.67,5
172.31.64.68,0
172.31.64.69,4
172.31.64.7,4
172.31.64.70,0
172.31.64.71,5
172.31.64.72,4
172.31.64.73,0
172.31.64.74,2
172.31.64.75,1
172.31.64.76,1
172.31.64.77,4
172.31.64.78,2
172.31.64.79,4
172.31.64.8,4
172.31.64.80,2
172.31.64.81,4
172.31.64.83,4
172.31.64.85,4
172.31.64.86,2
172.31.64.87,0
172.31.64.88,2
172.31.64.89,2
172.31.64.91,2
172.31.64.92,4
172.31.64.93,2
172.31.64.94,7
172.31.64.95,1
172.31.64.96,0
172.31.64.97,7
172.31.64.98,2
172.31.64.99,7
172.31.65.10,1
172.31.65.100,7
172.31.65.103,2
172.31.65.104,2
172.31.65.105,2
172.31.65.107,0
172.31.65.108,2
172.31.65.109,0
172.31.65.11,2
172.31.65.112,4
172.31.65.113,5
172.31.65.114,2
172.31.65.115,2
172.31.65.116,2
172.31.65.117,3
172.31.65.118,4
172.31.65.119,0
172.31.65.121,4
172.31.65.122,4
172.31.65.123,5
172.31.65.124,1
172.31.65.125,2
172.31.65.126,5
172.31.65.13,7
172.31.65.14,1
172.31.65.16,7
172.31.65.17,2
172.31.65.18,4
172.31.65.19,2
172.31.65.20,7
172.31.65.21,2
172.31.65.23,2
172.31.65.24,2
172.31.65.25,7
172.31.65.27,4
172.31.65.28,1
172.31.65.29,5
172.31.65.30,0
172.31.65.32,0
172.31.65.33,4
172.31.65.35,2
172.31.65.36,4
172.31.65.37,4
172.31.65.38,2
172.31.65.39,0
172.31.65.40,1
172.31.65.41,0
172.31.65.42,2
172.31.65.43,4
172.31.65.44,4
172.31.65.45,0
172.31.65.46,2
172.31.65.47,2
172.31.65.48,2
172.31.65.49,7
172.31.65.5,4
172.31.65.51,2
172.31.65.52,2
172.31.65.55,2
172.31.65.56,5
172.31.65.57,2
172.31.65.58,2
172.31.65.59,4
172.31.65.6,3
172.31.65.61,7
172.31.65.64,4
172.31.65.65,0
172.31.65.67,7
172.31.65.68,3
172.31.65.69,2
172.31.65.70,2
172.31.65.71,0
172.31.65.72,4
172.31.65.73,2
172.31.65.75,0
172.31.65.77,7
172.31.65.78,2
172.31.65.79,7
172.31.65.8,4
172.31.65.80,7
172.31.65.81,1
172.31.65.82,4
172.31.65.83,7
172.31.65.84,4
172.31.65.85,4
172.31.65.86,5
172.31.65.87,2
172.31.65.88,1
172.31.65.89,2
172.31.65.9,2
172.31.65.90,2
172.31.65.91,4
172.31.65.93,0
172.31.65.96,4
172.31.65.98,4
172.31.65.99,2
172.31.66.10,7
172.31.66.101,5
172.31.66.102,7
172.31.66.103,3
172.31.66.105,4
172.31.66.107,4
172.31.66.108,0
172.31.66.109,0
172.31.66.11,4
172.31.66.110,7
172.31.66.111,3
172.31.66.112,5
172.31.66.113,4
172.31.66.114,1
172.31.66.115,5
172.31.66.116,0
172.31.66.118,7
172.31.66.119,0
172.31.66.12,0
172.31.66.120,1
172.31.66.121,7
172.31.66.122,0
172.31.66.123,1
172.31.66.124,4
172.31.66.13,4
172.31.66.14,4
172.31.66.15,7
172.31.66.16,0
172.31.66.17,4
172.31.66.19,7
172.31.66.20,0
172.31.66.21,0
172.31.66.22,7
