,cluster_kmeans
172.31.64.101,8
172.31.64.120,0
172.31.64.126,0
172.31.64.27,0
172.31.64.33,9
172.31.64.52,8
172.31.64.67,0
172.31.64.73,0
172.31.64.85,0
172.31.64.88,2
172.31.64.99,0
172.31.65.118,6
172.31.65.123,7
172.31.65.25,3
172.31.65.27,0
172.31.65.39,1
172.31.65.55,0
172.31.65.9,0
172.31.65.90,0
172.31.66.120,0
172.31.66.49,0
172.31.66.57,0
172.31.66.77,0
172.31.66.81,0
172.31.66.85,0
172.31.66.98,0
172.31.67.109,0
172.31.67.58,0
172.31.67.70,0
172.31.67.76,8
172.31.68.18,0
172.31.68.19,0
172.31.68.6,8
172.31.69.12,0
172.31.0.2,5
172.31.64.107,2
172.31.64.127,0
172.31.64.70,8
172.31.64.74,4
172.31.64.81,8
172.31.64.83,2
172.31.65.56,2
172.31.65.6,2
172.31.65.86,8
172.31.65.98,8
172.31.66.119,8
172.31.66.122,4
172.31.66.53,2
172.31.66.62,2
172.31.66.63,2
172.31.67.100,2
172.31.67.111,4
172.31.67.31,4
172.31.67.37,8
172.31.67.50,2
172.31.67.61,8
172.31.67.62,2
172.31.67.75,2
172.31.67.86,8
172.31.68.20,8
172.31.68.21,4
172.31.69.16,2
172.31.69.25,0
172.31.69.28,0
